rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
17	OR5AR1	olfactory receptor, family 5, subfamily AR, member 1	264117	7	7	7	0	3	0	2	2	0	0	4.88e-08	0.183	0.384	0.0770	0.182	1.73e-07	0.000185
18	OR8K3	olfactory receptor, family 8, subfamily K, member 3	265683	7	7	7	1	2	2	0	2	1	0	1.44e-08	0.322	0.480	0.934	0.665	1.87e-07	0.000188
19	STAG2	stromal antigen 2	1110411	12	12	12	0	0	0	0	1	11	0	3.02e-08	0.191	0.289	0.625	0.485	2.79e-07	0.000266
20	SEMG1	semenogelin I	395351	8	8	7	0	5	0	2	0	1	0	3.49e-08	0.108	0.272	0.420	0.503	3.31e-07	0.000300
21	PDGFRA	platelet-derived growth factor receptor, alpha polypeptide	950298	13	11	12	1	0	5	2	4	2	0	2.84e-07	0.0964	0.0862	0.249	0.137	7.05e-07	0.000608
22	ADAM29	ADAM metallopeptidase domain 29	698127	9	9	8	1	6	0	0	2	1	0	2.08e-07	0.336	0.349	0.577	0.509	1.81e-06	0.00149
23	NLRP5	NLR family, pyrin domain containing 5	962338	12	12	11	2	9	0	1	2	0	0	1.69e-06	0.112	0.348	0.0349	0.0890	2.51e-06	0.00198
24	ABCC9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	1396433	14	11	14	1	4	0	3	5	2	0	4.15e-06	0.105	0.0201	0.360	0.0406	2.79e-06	0.00210
25	WNT2	wingless-type MMTV integration site family member 2	311956	5	5	5	0	3	0	0	1	1	0	0.000264	0.202	0.00295	0.0297	0.000662	2.90e-06	0.00210
26	SULT1B1	sulfotransferase family, cytosolic, 1B, member 1	257699	7	6	7	1	0	2	1	3	1	0	6.69e-07	0.360	0.159	0.864	0.274	3.02e-06	0.00211
27	LZTR1	leucine-zipper-like transcription regulator 1	647961	10	10	10	0	4	0	1	4	1	0	1.78e-06	0.0798	0.288	0.175	0.243	6.78e-06	0.00455
28	UGT2A3	UDP glucuronosyltransferase 2 family, polypeptide A3	450901	6	6	6	0	1	0	2	1	2	0	1.05e-05	0.153	0.230	0.0154	0.0473	7.69e-06	0.00498
29	CALCR	calcitonin receptor	424651	8	8	8	0	6	1	1	0	0	0	5.51e-07	0.0508	0.842	0.782	1.000	8.49e-06	0.00531
30	QKI	quaking homolog, KH domain RNA binding (mouse)	327911	5	5	5	0	0	0	0	2	3	0	2.54e-05	0.687	0.399	0.00517	0.0280	1.08e-05	0.00653
31	IL18RAP	interleukin 18 receptor accessory protein	520719	7	7	7	0	1	2	0	1	3	0	2.41e-06	0.0947	0.837	0.0785	0.317	1.15e-05	0.00675
32	COL1A2	collagen, type I, alpha 2	1162327	11	11	11	1	2	3	0	5	1	0	3.10e-06	0.200	0.309	0.265	0.307	1.42e-05	0.00803
33	OR5W2	olfactory receptor, family 5, subfamily W, member 2	264214	5	5	5	1	1	0	2	2	0	0	4.70e-06	0.615	0.186	0.399	0.254	1.75e-05	0.00943
34	ZPBP	zona pellucida binding protein	282197	5	5	4	0	3	0	1	0	1	0	6.47e-05	0.280	0.00813	0.373	0.0188	1.78e-05	0.00943
35	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	1117814	10	10	10	0	5	1	0	3	1	0	2.63e-06	0.116	0.882	0.139	0.474	1.82e-05	0.00943
36	OR5D18	olfactory receptor, family 5, subfamily D, member 18	267435	6	6	6	1	0	0	1	5	0	0	2.64e-06	0.538	0.571	0.230	0.600	2.28e-05	0.0115
37	LRFN5	leucine rich repeat and fibronectin type III domain containing 5	615457	7	7	7	0	2	0	1	4	0	0	9.23e-06	0.156	0.150	0.483	0.232	3.01e-05	0.0147
38	ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	2143122	15	15	15	2	1	0	1	3	10	0	5.35e-05	0.671	0.0341	0.154	0.0428	3.20e-05	0.0153
39	LRRC55	leucine rich repeat containing 55	292293	6	6	6	1	4	0	0	1	1	0	1.31e-05	0.273	0.101	0.614	0.208	3.76e-05	0.0168
40	DCAF12L2	DDB1 and CUL4 associated factor 12-like 2	390549	8	8	7	0	7	0	0	1	0	0	5.50e-06	0.0339	0.333	0.941	0.496	3.77e-05	0.0168
41	SEMA3E	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E	674205	8	8	8	0	1	1	0	3	3	0	6.36e-06	0.168	0.816	0.222	0.432	3.80e-05	0.0168
42	OR5D13	olfactory receptor, family 5, subfamily D, member 13	267731	5	5	4	1	3	0	0	2	0	0	6.04e-06	0.541	0.335	0.965	0.560	4.60e-05	0.0199
43	UGT2B28	UDP glucuronosyltransferase 2 family, polypeptide B28	445577	6	6	5	1	1	0	1	3	1	0	1.10e-05	0.516	0.172	0.287	0.326	4.86e-05	0.0205
44	SLC5A7	solute carrier family 5 (choline transporter), member 7	501972	7	7	7	0	3	1	0	2	1	0	8.05e-06	0.117	0.598	0.234	0.493	5.34e-05	0.0220
45	LUM	lumican	289227	5	5	4	0	3	0	0	2	0	0	8.79e-06	0.369	0.591	0.152	0.473	5.57e-05	0.0225
46	GABRB2	gamma-aminobutyric acid (GABA) A receptor, beta 2	440058	6	6	6	0	4	0	1	0	1	0	5.98e-05	0.125	0.0675	0.967	0.0739	5.89e-05	0.0232
47	ZNF99	zinc finger protein 99	883363	7	6	7	0	2	0	1	4	0	0	0.000336	0.159	0.00527	0.625	0.0143	6.35e-05	0.0245
48	OR5P2	olfactory receptor, family 5, subfamily P, member 2	274349	4	4	3	0	3	0	0	0	1	0	6.36e-05	0.164	0.0582	0.606	0.0980	8.10e-05	0.0306
49	SLC26A3	solute carrier family 26, member 3	671848	7	7	6	0	4	0	0	2	1	0	8.30e-05	0.0759	0.447	0.0210	0.0857	9.15e-05	0.0338
50	PCDH11X	protocadherin 11 X-linked	1139357	10	9	9	2	4	1	0	5	0	0	0.00135	0.413	0.00305	0.445	0.00608	0.000104	0.0378
51	CNTNAP2	contactin associated protein-like 2	1128486	13	13	13	3	9	1	1	2	0	0	3.34e-05	0.146	0.189	0.854	0.261	0.000110	0.0392
52	PIK3C2G	phosphoinositide-3-kinase, class 2, gamma polypeptide	1125269	9	9	9	2	4	0	3	1	1	0	0.000118	0.271	0.478	0.0278	0.0757	0.000113	0.0394
53	IL4R	interleukin 4 receptor	711459	8	8	8	1	3	0	0	3	2	0	2.65e-05	0.159	0.166	0.634	0.349	0.000116	0.0399
54	SCN9A	sodium channel, voltage-gated, type IX, alpha subunit	1585083	11	11	10	1	4	0	1	6	0	0	1.46e-05	0.255	0.567	0.722	0.785	0.000141	0.0474
55	PSG8	pregnancy specific beta-1-glycoprotein 8	374124	6	6	6	0	4	0	0	1	1	0	2.23e-05	0.181	0.403	0.196	0.530	0.000146	0.0474
56	UGT2B4	UDP glucuronosyltransferase 2 family, polypeptide B4	454711	5	5	5	1	1	2	0	1	1	0	5.03e-05	0.510	0.985	0.0874	0.236	0.000146	0.0474
57	FOXR2	forkhead box R2	264970	5	5	5	1	2	1	0	2	0	0	1.55e-05	0.549	0.831	0.310	0.814	0.000155	0.0492
58	TMEM147	transmembrane protein 147	198835	2	2	1	0	0	2	0	0	0	0	0.00800	0.305	0.0143	0.0130	0.00169	0.000165	0.0517
59	HCN1	hyperpolarization activated cyclic nucleotide-gated potassium channel 1	698110	12	11	12	3	6	0	0	4	2	0	2.18e-05	0.308	0.848	0.332	0.662	0.000175	0.0539
60	AFM	afamin	523318	6	6	6	1	2	0	2	1	1	0	3.32e-05	0.434	0.255	0.613	0.473	0.000189	0.0570
61	DYNC1I1	dynein, cytoplasmic 1, intermediate chain 1	557132	7	7	7	0	5	1	0	0	1	0	5.60e-05	0.0715	0.201	0.332	0.284	0.000192	0.0570
62	TGFA	transforming growth factor, alpha	112916	4	4	4	0	2	0	1	0	1	0	1.69e-05	0.183	0.779	0.393	1.000	0.000203	0.0584
63	GABRA1	gamma-aminobutyric acid (GABA) A receptor, alpha 1	396987	6	6	6	0	2	0	1	1	2	0	2.47e-05	0.119	0.551	0.780	0.686	0.000203	0.0584
64	CXorf22	chromosome X open reading frame 22	807820	8	8	8	0	5	1	0	1	1	0	1.84e-05	0.0749	0.758	0.619	1.000	0.000219	0.0621
65	POTEF	POTE ankyrin domain family, member F	720525	5	5	5	1	1	0	0	4	0	0	0.00564	0.593	0.00236	0.997	0.00332	0.000223	0.0621
66	TRAT1	T cell receptor associated transmembrane adaptor 1	165538	4	4	4	0	2	0	0	0	2	0	2.75e-05	0.420	0.629	0.977	0.728	0.000237	0.0650
67	KLK6	kallikrein-related peptidase 6	213664	4	4	3	1	4	0	0	0	0	0	9.97e-05	0.598	0.175	0.434	0.244	0.000282	0.0764
68	OR4D5	olfactory receptor, family 4, subfamily D, member 5	271963	4	4	4	1	4	0	0	0	0	0	0.000135	0.551	0.115	0.950	0.183	0.000287	0.0764
69	CDH9	cadherin 9, type 2 (T1-cadherin)	678944	8	8	8	2	2	1	0	3	2	0	0.000112	0.534	0.138	0.514	0.224	0.000291	0.0765
70	KRTAP20-2	keratin associated protein 20-2	56883	3	3	3	0	2	0	0	0	1	0	8.57e-05	0.630	0.530	0.0909	0.353	0.000346	0.0895
71	TRPV6	transient receptor potential cation channel, subfamily V, member 6	633221	7	7	7	1	2	0	2	1	2	0	6.33e-05	0.536	0.402	0.242	0.492	0.000354	0.0905
72	MMP13	matrix metallopeptidase 13 (collagenase 3)	411285	6	5	6	0	2	3	0	1	0	0	0.000231	0.127	0.576	0.0435	0.160	0.000414	0.104
73	KLF17	Kruppel-like factor 17	330462	5	5	5	0	2	2	0	0	1	0	0.000200	0.143	0.103	0.877	0.195	0.000435	0.108
74	OR52M1	olfactory receptor, family 52, subfamily M, member 1	270828	4	4	4	0	3	0	1	0	0	0	0.000195	0.340	0.102	0.403	0.214	0.000463	0.113
75	DPP10	dipeptidyl-peptidase 10	702066	7	7	6	1	2	0	0	3	2	0	5.50e-05	0.307	0.492	0.981	0.765	0.000466	0.113
76	OR4P4	olfactory receptor, family 4, subfamily P, member 4	248230	4	4	4	1	2	1	1	0	0	0	5.33e-05	0.504	0.697	0.471	0.807	0.000475	0.113
77	DRD5	dopamine receptor D5	384431	7	7	7	0	5	0	0	2	0	0	7.27e-05	0.0490	0.862	0.236	0.598	0.000480	0.113
78	KDR	kinase insert domain receptor (a type III receptor tyrosine kinase)	1184831	8	8	8	0	2	3	0	1	2	0	0.000142	0.0436	0.307	0.263	0.322	0.000503	0.117
79	COL6A5	collagen, type VI, alpha 5	659073	6	6	5	1	3	1	0	2	0	0	0.000301	0.347	0.105	0.818	0.163	0.000536	0.123
80	PROKR2	prokineticin receptor 2	328841	7	6	6	0	7	0	0	0	0	0	6.78e-05	0.0485	0.599	0.708	0.740	0.000547	0.124
81	TCN1	transcobalamin I (vitamin B12 binding protein, R binder family)	378647	4	4	4	0	2	0	0	2	0	0	0.00212	0.283	0.00866	0.944	0.0256	0.000586	0.131
82	OR8J3	olfactory receptor, family 8, subfamily J, member 3	268795	4	4	4	1	2	0	1	1	0	0	0.000225	0.674	0.433	0.150	0.245	0.000595	0.131
83	TCHH	trichohyalin	1613913	15	14	15	1	12	0	0	2	1	0	0.000111	0.302	0.327	0.966	0.500	0.000598	0.131
84	RFX6	regulatory factor X, 6	783133	5	5	5	1	1	0	0	3	1	0	0.00591	0.668	0.143	0.00291	0.00969	0.000616	0.133
85	KCNB2	potassium voltage-gated channel, Shab-related subfamily, member 2	776552	6	6	6	1	4	0	1	1	0	0	0.00134	0.255	0.0308	0.311	0.0449	0.000645	0.138
86	PAN3	PAN3 polyA specific ribonuclease subunit homolog (S. cerevisiae)	649484	6	6	6	0	1	0	2	2	1	0	0.000269	0.130	0.152	0.952	0.233	0.000668	0.141
87	FGG	fibrinogen gamma chain	393920	5	5	5	1	1	2	1	1	0	0	0.000119	0.424	0.370	0.750	0.532	0.000675	0.141
88	CACNA2D1	calcium channel, voltage-dependent, alpha 2/delta subunit 1	937640	7	7	7	1	2	2	0	2	1	0	0.000112	0.313	0.575	0.281	0.597	0.000708	0.146
89	FGA	fibrinogen alpha chain	738983	6	6	6	0	0	1	2	2	1	0	0.000331	0.167	0.0976	0.959	0.212	0.000742	0.151
90	CDKN2C	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	145441	3	3	3	0	0	0	0	0	3	0	0.000176	1.000	0.172	0.944	0.415	0.000768	0.155
91	RYR2	ryanodine receptor 2 (cardiac)	3908958	30	28	30	7	16	3	4	5	2	0	0.00156	0.149	0.0200	0.717	0.0478	0.000781	0.156
92	FRMD7	FERM domain containing 7	620391	6	6	6	0	2	0	0	4	0	0	0.000174	0.324	0.291	0.618	0.437	0.000797	0.157
93	AZGP1	alpha-2-glycoprotein 1, zinc-binding	258373	5	5	5	0	2	0	0	2	1	0	7.83e-05	0.280	0.979	0.791	1.000	0.000818	0.160
94	CD209	CD209 molecule	351769	5	5	4	1	5	0	0	0	0	0	0.000100	0.378	0.806	0.165	0.819	0.000856	0.165
95	ZDHHC4	zinc finger, DHHC-type containing 4	299697	3	3	1	0	3	0	0	0	0	0	0.0127	0.238	0.00266	0.987	0.00683	0.000899	0.172
96	GRIP1	glutamate receptor interacting protein 1	941132	7	7	7	1	2	3	1	1	0	0	0.000292	0.236	0.132	0.916	0.301	0.000909	0.172
97	ZFP42	zinc finger protein 42 homolog (mouse)	265109	6	5	4	0	5	0	0	1	0	0	0.000126	0.0754	0.533	0.806	0.715	0.000928	0.174
98	OR11H12	olfactory receptor, family 11, subfamily H, member 12	263014	3	3	2	0	0	0	0	3	0	0	0.00364	0.567	0.00909	0.448	0.0263	0.000982	0.182
99	F9	coagulation factor IX (plasma thromboplastic component, Christmas disease, hemophilia B)	400587	4	4	4	1	1	0	0	1	2	0	0.000996	0.700	0.157	0.134	0.101	0.00102	0.186
100	OR2A12	olfactory receptor, family 2, subfamily A, member 12	264888	4	4	4	1	2	0	0	2	0	0	0.000541	0.503	0.218	0.153	0.186	0.00103	0.186
101	MAGEC2	melanoma antigen family C, 2	318645	5	5	5	1	1	0	0	4	0	0	0.000104	0.547	0.990	0.946	1.000	0.00106	0.190
102	C3orf67	chromosome 3 open reading frame 67	492268	6	6	6	0	6	0	0	0	0	0	0.000106	0.128	0.866	0.353	1.000	0.00107	0.190
103	TUBA3C	tubulin, alpha 3c	388559	6	6	6	0	4	1	0	1	0	0	0.000205	0.0709	0.416	0.974	0.518	0.00108	0.190
104	TREML2	triggering receptor expressed on myeloid cells-like 2	273278	4	4	4	0	1	2	1	0	0	0	0.000430	0.193	0.107	0.772	0.256	0.00111	0.194
105	OR10G8	olfactory receptor, family 10, subfamily G, member 8	266020	4	4	4	0	1	1	0	1	1	0	0.000456	0.258	0.570	0.106	0.259	0.00118	0.205
106	ODF4	outer dense fiber of sperm tails 4	221938	3	3	2	0	3	0	0	0	0	0	0.00270	0.232	0.00847	0.326	0.0455	0.00123	0.209
107	EPHA10	EPH receptor A10	672209	7	7	7	1	6	1	0	0	0	0	0.00265	0.166	0.0195	0.624	0.0474	0.00125	0.209
108	OR2H1	olfactory receptor, family 2, subfamily H, member 1	270237	3	3	2	0	2	0	0	1	0	0	0.00130	0.419	0.279	0.0980	0.0968	0.00126	0.209
109	SPAG17	sperm associated antigen 17	1907267	10	10	10	1	0	0	3	6	1	0	0.000288	0.311	0.267	0.940	0.443	0.00127	0.209
110	CD1D	CD1d molecule	273717	4	4	3	0	0	0	0	0	4	0	0.000392	0.456	0.242	0.989	0.326	0.00127	0.209
111	ACSM2B	acyl-CoA synthetase medium-chain family member 2B	504461	5	5	5	0	1	1	2	0	1	0	0.000236	0.181	0.371	0.602	0.544	0.00128	0.209
112	FAM126B	family with sequence similarity 126, member B	462135	4	4	3	1	2	0	0	0	2	0	0.00211	0.786	0.0276	0.642	0.0619	0.00130	0.210
113	CYP2B6	cytochrome P450, family 2, subfamily B, polypeptide 6	427364	4	4	4	1	1	0	1	1	1	0	0.00162	0.510	0.0365	0.831	0.0816	0.00131	0.211
114	GLI1	glioma-associated oncogene homolog 1 (zinc finger protein)	952217	4	4	4	0	1	2	0	1	0	0	0.0427	0.263	0.00388	0.0554	0.00323	0.00136	0.217
115	NUP210L	nucleoporin 210kDa-like	1646250	8	8	7	0	1	1	1	3	2	0	0.00137	0.122	0.156	0.0550	0.104	0.00141	0.222
116	THSD7B	thrombospondin, type I, domain containing 7B	1317194	9	9	8	1	4	1	1	3	0	0	0.000207	0.283	0.653	0.380	0.718	0.00146	0.226
117	CARD6	caspase recruitment domain family, member 6	884606	6	6	6	0	0	3	0	2	1	0	0.000260	0.229	0.374	0.769	0.581	0.00148	0.226
118	IMPG1	interphotoreceptor matrix proteoglycan 1	684318	5	5	5	0	1	1	1	0	2	0	0.000931	0.201	0.0826	0.705	0.163	0.00148	0.226
119	PARD6B	par-6 partitioning defective 6 homolog beta (C. elegans)	300250	2	2	2	0	1	1	0	0	0	0	0.0240	0.481	0.00932	0.0609	0.00633	0.00148	0.226
120	FBLN2	fibulin 2	561275	7	6	7	2	4	1	1	1	0	0	0.00217	0.457	0.0564	0.117	0.0714	0.00152	0.229
121	ELTD1	EGF, latrophilin and seven transmembrane domain containing 1	588396	5	5	5	0	0	0	1	3	1	0	0.000210	0.335	0.676	0.593	0.758	0.00155	0.232
122	GABRB3	gamma-aminobutyric acid (GABA) A receptor, beta 3	385442	6	6	6	2	2	1	1	0	2	0	0.000468	0.544	0.225	0.742	0.343	0.00156	0.232
123	CLYBL	citrate lyase beta like	279822	4	4	4	0	0	0	1	2	1	0	0.000564	0.368	0.177	0.733	0.292	0.00160	0.236
124	SLC22A9	solute carrier family 22 (organic anion transporter), member 9	480888	5	5	4	0	5	0	0	0	0	0	0.000219	0.200	0.503	0.698	0.788	0.00167	0.244
125	ATF7IP2	activating transcription factor 7 interacting protein 2	590342	5	5	5	0	2	1	1	1	0	0	0.000683	0.201	0.304	0.257	0.258	0.00170	0.247
126	DSG3	desmoglein 3 (pemphigus vulgaris antigen)	866832	9	9	9	2	5	1	1	2	0	0	0.000228	0.348	0.597	0.807	0.800	0.00175	0.251
127	SLC5A4	solute carrier family 5 (low affinity glucose cotransporter), member 4	571873	5	5	5	0	1	0	1	2	1	0	0.000487	0.215	0.237	0.323	0.375	0.00175	0.251
128	MAGEB4	melanoma antigen family B, 4	286278	4	4	4	0	1	1	0	1	1	0	0.000583	0.344	0.302	0.151	0.319	0.00178	0.251
129	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif, 16	997048	8	8	8	1	3	0	0	3	2	0	0.000345	0.270	0.397	0.784	0.540	0.00179	0.251
130	SLC27A2	solute carrier family 27 (fatty acid transporter), member 2	524995	6	6	6	0	4	1	1	0	0	0	0.000326	0.102	0.398	0.485	0.609	0.00189	0.264
131	GLT1D1	glycosyltransferase 1 domain containing 1	215256	3	3	2	1	3	0	0	0	0	0	0.00366	0.426	0.0153	0.914	0.0553	0.00192	0.264
132	PCDH19	protocadherin 19	950213	7	7	7	1	2	0	2	0	3	0	0.00150	0.502	0.0970	0.318	0.135	0.00192	0.264
133	KIF2B	kinesin family member 2B	573351	8	8	8	2	4	0	1	1	2	0	0.000324	0.505	0.476	0.753	0.648	0.00199	0.271
134	NDST4	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 4	753949	6	6	6	0	0	0	2	2	2	0	0.000301	0.162	0.832	0.308	0.704	0.00200	0.271
135	OR51A2	olfactory receptor, family 51, subfamily A, member 2	211782	3	3	3	1	1	0	1	1	0	0	0.000344	0.603	0.971	0.270	0.624	0.00203	0.272
136	OR5I1	olfactory receptor, family 5, subfamily I, member 1	256240	4	4	4	1	1	0	0	3	0	0	0.000498	0.694	0.286	0.559	0.435	0.00204	0.272
137	PCMTD1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	309408	3	3	3	1	0	0	1	2	0	0	0.00305	0.837	0.0229	0.642	0.0730	0.00210	0.276
138	KPRP	keratinocyte proline-rich protein	493547	6	6	6	0	3	1	0	2	0	0	0.000223	0.264	0.947	0.675	1.000	0.00210	0.276
139	WDR63	WD repeat domain 63	780962	5	5	5	1	2	0	0	2	1	0	0.00310	0.593	0.457	0.0162	0.0728	0.00212	0.277
140	EHD3	EH-domain containing 3	461836	5	5	5	1	0	1	1	3	0	0	0.00150	0.529	0.112	0.720	0.153	0.00215	0.278
141	ALLC	allantoicase	323755	4	4	4	0	2	1	0	1	0	0	0.00192	0.237	0.108	0.107	0.121	0.00218	0.280
142	HRH2	histamine receptor H2	306772	3	3	3	0	3	0	0	0	0	0	0.0174	0.296	0.0125	0.345	0.0135	0.00221	0.282
143	POF1B	premature ovarian failure, 1B	498710	3	3	3	1	1	0	1	1	0	0	0.0123	0.781	0.00669	0.539	0.0197	0.00226	0.286
144	REN	renin	355728	5	5	4	0	2	0	0	1	2	0	0.000249	0.325	0.616	0.897	1.000	0.00231	0.291
145	RBMS3	RNA binding motif, single stranded interacting protein	381141	4	4	4	0	1	0	0	3	0	0	0.00228	0.366	0.0720	0.450	0.111	0.00235	0.293
146	KDELC2	KDEL (Lys-Asp-Glu-Leu) containing 2	382034	4	4	4	0	1	1	0	2	0	0	0.000922	0.351	0.917	0.0955	0.277	0.00237	0.294
147	OR5L2	olfactory receptor, family 5, subfamily L, member 2	265756	3	3	3	1	0	0	0	3	0	0	0.00432	0.826	0.0436	0.200	0.0599	0.00239	0.294
148	TP63	tumor protein p63	638410	6	6	6	1	2	2	0	0	2	0	0.000764	0.345	0.252	0.502	0.339	0.00240	0.294
149	OR2F2	olfactory receptor, family 2, subfamily F, member 2	270831	3	3	3	1	0	0	1	2	0	0	0.00207	0.758	0.358	0.0741	0.129	0.00247	0.299
150	OR4K5	olfactory receptor, family 4, subfamily K, member 5	275642	3	3	3	1	0	0	0	2	1	0	0.00407	0.913	0.294	0.0335	0.0660	0.00248	0.299
151	ZNF492	zinc finger protein 492	411261	4	4	4	0	1	0	0	2	1	0	0.000491	0.455	0.380	0.571	0.567	0.00256	0.304
152	OR5K4	olfactory receptor, family 5, subfamily K, member 4	273935	3	3	3	0	2	1	0	0	0	0	0.000466	0.395	0.298	0.361	0.601	0.00257	0.304
153	ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif, 8	542348	3	3	2	0	2	0	0	1	0	0	0.0489	0.336	0.00261	0.990	0.00575	0.00258	0.304
154	FTMT	ferritin mitochondrial	201340	4	4	4	1	3	0	1	0	0	0	0.000674	0.487	0.208	0.733	0.421	0.00260	0.304
155	ZNF697	zinc finger protein 697	167111	3	3	3	0	2	0	0	0	1	0	0.00587	0.345	0.175	0.0396	0.0483	0.00260	0.304
156	FAM81B	family with sequence similarity 81, member B	393649	3	3	3	1	2	0	0	1	0	0	0.0147	0.708	0.0107	0.249	0.0201	0.00269	0.312
157	FBXL12	F-box and leucine-rich repeat protein 12	234236	4	4	4	0	2	1	0	0	1	0	0.000447	0.274	0.982	0.261	0.664	0.00271	0.312
158	OR5D14	olfactory receptor, family 5, subfamily D, member 14	268250	3	3	3	0	1	0	0	2	0	0	0.00503	0.580	0.0155	0.774	0.0630	0.00287	0.329
159	AADACL4	arylacetamide deacetylase-like 4	350920	4	4	4	0	2	0	1	0	1	0	0.00157	0.211	0.121	0.225	0.206	0.00291	0.332
160	ANO2	anoctamin 2	801849	7	7	6	1	4	0	0	2	1	0	0.000470	0.315	0.512	0.353	0.697	0.00296	0.335
161	ANGPT4	angiopoietin 4	422844	5	5	5	0	2	0	1	1	1	0	0.000620	0.160	0.613	0.218	0.539	0.00301	0.337
162	SLC6A14	solute carrier family 6 (amino acid transporter), member 14	542446	5	5	5	0	3	0	0	1	1	0	0.000334	0.167	0.703	0.933	1.000	0.00301	0.337
163	ATCAY	ataxia, cerebellar, Cayman type (caytaxin)	267705	4	4	4	0	3	0	0	0	1	0	0.00304	0.131	NaN	NaN	NaN	0.00304	0.338
164	TMPRSS6	transmembrane protease, serine 6	600499	6	6	5	0	4	1	0	0	1	0	0.00184	0.101	0.121	0.330	0.186	0.00308	0.339
165	MX2	myxovirus (influenza virus) resistance 2 (mouse)	622599	5	5	5	0	2	1	1	1	0	0	0.00193	0.153	0.0940	0.554	0.178	0.00309	0.339
166	RAG1	recombination activating gene 1	887486	5	5	5	1	3	1	0	1	0	0	0.00684	0.506	0.204	0.0219	0.0506	0.00310	0.339
167	FUCA1	fucosidase, alpha-L- 1, tissue	346069	4	3	4	0	1	2	0	1	0	0	0.0103	0.245	0.0507	0.0672	0.0337	0.00313	0.339
